id,vc,lc,dc,fc,cc
245,10094,19,2,0,1
246,17553,16,3,0,1
247,67145,87,11,0,4
248,3058,19,2,0,0
249,676138,2447,194,0,448
250,45735,71,4,0,4
251,24281,44,2,0,0
252,60198,74,5,0,3
253,84042,74,2,0,22
254,2815,7,1,0,2
255,23883,96,5,0,11
256,79283,258,6,0,40
257,3961,8,0,0,12
258,10682,66,2,0,2
259,27745,96,13,0,15
260,99967,359,8,0,20
261,33766,128,4,0,12
262,31550,258,3,0,37
263,28804,93,4,0,1
264,343501,383,17,0,29
265,36934,188,6,0,15
266,5303,9,0,0,3
267,21257,53,6,0,10
268,145390,305,14,0,67
269,4140,5,0,0,0
270,7681,44,2,0,2
271,4410,8,0,0,1
272,54494,70,6,0,8
273,133226,139,9,0,20
274,76868,123,5,0,8
275,9313,20,1,0,8
276,56549,124,5,0,35
277,401669,206,14,0,30
278,37290,105,5,0,10
279,38379,104,5,0,8
280,9033,13,4,0,2
281,40906,91,6,0,5
282,26205,116,3,0,10
283,179013,222,17,0,6
284,8317,79,0,0,12
285,16458,25,0,0,3
286,31349,95,2,0,8
287,11475,20,1,0,5
288,41262,142,2,0,6
289,670,10,0,0,1
290,40003,68,6,0,20
291,7253,32,1,0,3
292,19323,21,1,0,3
293,12300,34,2,0,6
294,32010,92,5,0,4
295,27708,90,2,0,5
296,365961,493,49,0,61
297,112779,122,8,0,3
298,111680,140,10,0,24
299,2975,17,1,0,3
300,19528,32,2,0,9
301,2847,5,0,0,0
302,85714,63,11,0,12
303,2280,6,0,0,1
304,38197,26,2,0,6
305,13854,31,1,0,13
306,17585,49,4,0,3
307,32200,27,1,0,2
308,20906,136,2,0,14
309,5653,20,0,0,0
310,82298,227,16,0,35
311,15836,74,8,0,6
312,17534,72,14,0,13
313,31811,121,1,0,11
314,8726,24,3,0,6
315,467981,254,42,0,136
316,30018,73,8,0,6
317,3782,10,0,0,1
318,9956,10,2,0,0
319,10853,10,0,0,2
320,1919236,4786,1305,0,0
321,5496,8,0,0,3
322,105823,97,10,0,22
323,217816,422,24,0,83
324,22092,23,0,0,5
325,35579,77,6,0,5
326,47809,46,4,0,12
327,5991,20,1,0,2
328,2854,8,0,0,1
329,34155,130,5,0,18
330,142398,370,7,0,7
331,3781,1,2,0,1
332,8163,16,0,0,1
333,6922,37,1,0,6
334,11750,61,3,0,3
335,144717,189,19,0,31
336,8295,17,1,0,4
337,3503,12,0,0,0
338,79568,82,17,0,5
339,18951,103,2,0,12
340,120078,172,16,0,14
341,200,16,1,2,1
342,5421,16,1,0,1
343,17249,14,10,0,1
344,21311,44,1,0,11
345,15171,5,1,0,0
346,5036,34,1,0,7
347,258538,177,19,0,34
348,2817,12,0,0,1
349,40239,76,7,0,20
350,7867,67,3,23,5
351,23866,52,2,0,0
352,48200,131,4,0,2
353,14025,65,2,0,8
354,56160,102,8,0,23
355,35733,92,3,0,11
356,24693,148,5,0,30
357,20641,23,4,0,1
358,41604,48,3,0,4
359,20945,87,5,0,9
360,14189,55,1,0,4
361,24371,180,3,0,9
362,7328,125,1,0,17
363,20870,50,5,0,16
364,5798,39,2,0,6
365,37053,168,3,0,14
366,13509,40,0,0,1
367,1556,1,0,0,0
368,38778,78,2,0,6
369,17829,53,1,0,2
370,4576,87,1,0,10
371,27591,278,3,0,11
372,7612,33,0,0,6
373,5047,6,0,0,0
374,244300,384,23,0,108
375,75813,169,5,0,15
376,1123,1,0,0,0
377,1332932,1555,105,0,304
378,200,3,1,3,5
379,3518,12,0,0,0
380,5032,37,18,0,12
381,74201,126,3,0,20
382,5999,18,0,0,7
383,951,11,0,0,5
384,7551,9,0,0,2
385,1470,5,1,0,1
386,9200,24,1,0,1
387,12622,11,0,0,0
388,91717,84,10,0,8
389,30351,29,3,0,5
390,3085,2,0,0,0
391,17645,60,2,0,5
392,16754,70,0,0,1
393,8884,19,1,0,3
394,10071,8,1,0,4
395,46826,60,3,0,6
396,168861,243,21,0,44
397,4590,14,1,0,2
398,11710,10,0,0,0
399,3042,10,0,0,1
400,43428,127,9,0,9
401,1544079,626,194,0,29
402,4124,42,3,0,7
403,17168,62,2,0,6
404,20064,19,0,0,2
405,62810,57,4,0,7
406,88777,206,10,0,24
407,96224,86,5,0,12
408,8802,28,1,0,3
409,28236,52,3,0,2
410,12758,23,1,0,4
411,80273,33,18,0,5
412,41176,42,3,0,5
413,5625,6,0,0,0
414,8365,22,1,0,6
415,41491,40,5,0,6
416,913085,1412,38,0,179
417,10971,3,0,0,0
418,6098,15,2,0,0
419,44508,109,6,0,24
420,131354,256,8,0,16
421,3136,12,0,0,0
422,42187,58,4,0,21
423,8979,57,4,0,2
424,1286,3,0,0,0
425,173831,325,8,0,44
426,17986,48,6,0,20
427,6949,9,1,0,1
428,15689,70,1,0,1
429,5665,18,0,0,1
430,31590,63,4,0,6
431,8084,100,0,0,3
432,73556,71,2,0,14
433,481026,804,62,0,54
434,3506,13,1,0,4
435,1421,22,0,0,0
